DATE,OCCounter,FairCounter,PendingCounter
2024-02-07 10:18:34,169207,93783,539
2024-02-07 12:30:37,169207,93783,539
2024-02-07 14:15:19,169207,93783,539
2024-02-07 16:22:55,169207,93783,539
2024-02-07 18:20:49,169248,93802,542
2024-02-07 20:17:02,169248,93802,542
2024-02-07 22:16:00,169248,93802,542
2024-02-08 01:12:46,169248,93802,542
2024-02-08 02:21:42,169248,93802,542
2024-02-08 04:20:45,169248,93802,542
2024-02-08 06:22:24,169248,93802,542
2024-02-08 08:20:28,169248,93802,542
2024-02-08 10:17:48,169248,93802,542
2024-02-08 12:31:02,169248,93802,542
2024-02-08 14:15:01,169248,93802,542
2024-02-08 16:21:31,169248,93802,542
2024-02-08 18:21:04,169292,93816,542
2024-02-08 20:17:04,169292,93816,542
2024-02-08 22:15:45,169292,93816,542
2024-02-09 01:12:50,169292,93816,542
2024-02-09 02:21:21,169292,93816,542
2024-02-09 04:19:47,169292,93816,542
2024-02-09 06:21:36,169292,93816,542
2024-02-09 08:19:53,169292,93816,542
2024-02-09 10:18:01,169292,93816,542
2024-02-09 12:30:08,169292,93816,542
2024-02-09 14:15:17,169292,93816,542
2024-02-09 16:20:48,169292,93816,542
2024-02-09 18:20:47,169292,93816,542
2024-02-09 20:17:05,169292,93816,542
2024-02-09 22:17:25,169292,93816,542
2024-02-10 01:11:37,169292,93816,542
2024-02-10 02:20:02,169292,93816,542
2024-02-10 04:20:55,169292,93816,542
2024-02-10 06:20:33,169292,93816,542
2024-02-10 08:18:49,169292,93816,542
2024-02-10 10:17:36,169292,93816,542
2024-02-10 12:29:13,169292,93816,542
2024-02-10 14:15:02,169292,93816,542
2024-02-10 16:20:36,169292,93816,542
2024-02-10 18:19:49,169389,93852,543
2024-02-10 20:16:19,169389,93852,543
2024-02-10 22:14:57,169389,93852,543
2024-02-11 01:18:52,169389,93852,543
2024-02-11 02:24:14,169389,93852,543
2024-02-11 04:20:05,169389,93852,543
2024-02-11 06:21:39,169389,93852,543
2024-02-11 08:20:10,169389,93852,543
2024-02-11 10:17:58,169389,93852,543
2024-02-11 12:28:44,169389,93852,543
2024-02-11 14:15:31,169389,93852,543
2024-02-11 16:20:45,169389,93852,543
2024-02-11 18:20:50,169444,93875,543
2024-02-11 20:17:21,169444,93875,543
2024-02-11 22:15:15,169444,93875,543
2024-02-12 01:14:13,169444,93875,543
2024-02-12 02:23:02,169444,93875,543
2024-02-12 04:20:42,169444,93875,543
2024-02-12 06:22:03,169444,93875,543
2024-02-12 08:21:43,169444,93875,543
2024-02-12 10:20:22,169444,93875,543
2024-02-12 12:31:36,169444,93875,543
2024-02-12 14:15:57,169444,93875,543
2024-02-12 16:22:40,169444,93875,543
2024-02-12 18:20:50,169499,93874,543
2024-02-12 20:17:19,169499,93874,543
2024-02-12 22:16:56,169499,93874,543
2024-02-13 01:14:18,169499,93874,543
2024-02-13 02:21:58,169499,93874,543
2024-02-13 04:19:42,169499,93874,543
2024-02-13 06:23:03,169499,93874,543
2024-02-13 08:21:44,169499,93874,543
2024-02-13 10:18:00,169499,93874,543
